Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2010-09-28,0.2657457,-0.90704983,-0.11646328,-0.60488343,0.25186118,-0.020340852,0.926903,-0.44847786,0.33685645,-0.0597124,-0.56381303,-0.64430207,0.1559374,0.8390037,-0.43407536,0.7447186
2010-09-29,0.23328586,-0.9092436,-0.16307083,-0.5989932,0.23096745,-0.06083214,0.9405653,-0.4263441,0.32063818,-0.027023923,-0.5689364,-0.6217911,0.15322587,0.83714026,-0.42477915,0.77710193
2010-09-30,0.20666465,-0.90824246,-0.2018394,-0.5870074,0.20918432,-0.09825393,0.94458395,-0.39016682,0.3054762,0.0027533534,-0.56727237,-0.6021298,0.14821292,0.83019125,-0.42518437,0.7939604
2010-10-01,0.22157957,-0.89935166,-0.20240848,-0.5560926,0.20834394,-0.12306097,0.9291713,-0.3155457,0.3591622,-0.0042488487,-0.5520224,-0.5567425,0.14948799,0.7902001,-0.4434246,0.75123197
2010-10-04,0.27114663,-0.89518327,-0.184868,-0.51857686,0.23068254,-0.15751491,0.9240489,-0.28600267,0.41859657,-0.014335924,-0.5494662,-0.5165006,0.17288725,0.78809625,-0.45543963,0.724637
2010-10-05,0.306252,-0.89992625,-0.16792142,-0.47720483,0.22278222,-0.17492759,0.926315,-0.2776389,0.4519439,-0.025117906,-0.53390336,-0.45669955,0.18240532,0.7989223,-0.50851905,0.7371298
2010-10-06,0.3322636,-0.90935683,-0.16182807,-0.4454059,0.2504097,-0.21183258,0.9275587,-0.26612332,0.47882122,-0.035576385,-0.5564125,-0.44329315,0.21669862,0.7909463,-0.52967614,0.72150344
2010-10-07,0.3659446,-0.9166497,-0.15866788,-0.40209165,0.25913736,-0.24170032,0.9276309,-0.26257196,0.4990867,-0.038567126,-0.5541402,-0.409204,0.23860599,0.79670554,-0.5618547,0.72918093
2010-10-08,0.3970965,-0.923692,-0.15394208,-0.36110872,0.26496437,-0.26865306,0.92801297,-0.27010393,0.50258195,-0.045657434,-0.5540024,-0.36834157,0.25136477,0.8054295,-0.6052241,0.7419268
2010-10-11,0.4343697,-0.9287503,-0.14938925,-0.3233543,0.28502086,-0.30085188,0.9261438,-0.27362248,0.5032526,-0.05164755,-0.56130016,-0.34126756,0.2691806,0.81331927,-0.63573,0.74146
